State (FIPS Code),County of current residence,Census Tract,Qualifying Name,FIPS,Civilian Population in Labor Force 16 Years and Over:,Civilian Population in Labor Force 16 Years and Over: Employed,Civilian Population in Labor Force 16 Years and Over: Unemployed,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level
Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_QName,Geo_FIPS,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
09,001,045101,"Census Tract 451.01, Fairfield County, Connecticut",09001045101,1920,1780,140,2458,21,190,271,1036,702,84,154,4048,4048,3509,38,0,263,0,0,238,4048,3924,3400,38,0,257,0,0,229,124,109,0,0,6,0,0,9,1370,52,1318
09,001,045102,"Census Tract 451.02, Fairfield County, Connecticut",09001045102,3602,3493,109,4043,107,669,567,1361,871,289,179,6131,6131,4957,26,0,398,0,106,644,6131,5793,4776,26,0,398,0,65,528,338,181,0,0,0,0,41,116,1559,40,1519
09,001,045200,"Census Tract 452, Fairfield County, Connecticut",09001045200,1341,1289,52,2016,64,193,217,801,498,184,59,2792,2792,2495,61,0,198,0,11,27,2792,2622,2355,42,0,198,0,0,27,170,140,19,0,0,0,11,0,649,9,640
09,001,045300,"Census Tract 453, Fairfield County, Connecticut",09001045300,1251,1212,39,1690,32,94,207,779,404,124,50,2492,2492,2026,23,0,264,0,0,179,2492,2386,1991,23,0,264,0,0,108,106,35,0,0,0,0,0,71,658,13,645
09,001,045400,"Census Tract 454, Fairfield County, Connecticut",09001045400,1654,1518,136,1857,0,160,208,755,638,70,26,3023,3023,2433,46,0,376,0,15,153,3023,2981,2424,46,0,376,0,0,135,42,9,0,0,0,0,15,18,823,0,823
09,001,050100,"Census Tract 501, Fairfield County, Connecticut",09001050100,2272,2216,56,2904,22,134,183,1086,826,535,118,4533,4533,4095,11,11,165,0,26,225,4533,4324,4005,0,11,165,0,26,117,209,90,11,0,0,0,0,108,1288,0,1288
09,001,050200,"Census Tract 502, Fairfield County, Connecticut",09001050200,1888,1805,83,2466,65,128,139,972,814,237,111,3622,3622,3147,38,39,210,0,7,181,3622,3382,2991,38,39,210,0,0,104,240,156,0,0,0,0,7,77,869,18,851
09,001,050301,"Census Tract 503.01, Fairfield County, Connecticut",09001050301,1722,1653,69,2645,93,213,349,1096,580,280,34,4305,4305,3722,1,0,398,0,87,97,4305,4081,3631,1,0,398,0,0,51,224,91,0,0,0,0,87,46,1406,76,1330
09,001,050302,"Census Tract 503.02, Fairfield County, Connecticut",09001050302,2156,1969,187,3028,72,326,223,1224,642,358,183,4302,4302,3849,4,0,234,0,119,96,4302,4179,3789,4,0,234,0,95,57,123,60,0,0,0,0,24,39,909,0,909
09,001,050400,"Census Tract 504, Fairfield County, Connecticut",09001050400,1203,1114,89,1708,87,137,282,567,445,100,90,2304,2304,1895,52,0,184,22,93,58,2304,2131,1829,52,0,184,22,0,44,173,66,0,0,0,0,93,14,394,9,385
09,001,050500,"Census Tract 505, Fairfield County, Connecticut",09001050500,2271,2123,148,3139,48,366,362,1102,868,347,46,5010,5010,4198,131,0,281,0,73,327,5010,4821,4130,131,0,281,0,39,240,189,68,0,0,0,0,34,87,1584,94,1490
09,001,050600,"Census Tract 506, Fairfield County, Connecticut",09001050600,1391,1367,24,2045,64,175,257,700,552,255,42,3092,3092,2476,26,40,86,0,14,450,3092,2475,2324,26,0,86,0,2,37,617,152,0,40,0,0,12,413,906,0,906
09,001,055100,"Census Tract 551, Fairfield County, Connecticut",09001055100,3048,2968,80,3996,70,262,579,1445,1111,380,149,5999,5999,4891,146,27,342,0,54,539,5999,5676,4734,115,27,342,0,25,433,323,157,31,0,0,0,29,106,1624,25,1599
09,001,055200,"Census Tract 552, Fairfield County, Connecticut",09001055200,2252,2183,69,2796,27,148,349,874,962,296,140,4340,4340,3732,142,9,195,0,0,262,4340,4128,3575,142,9,195,0,0,207,212,157,0,0,0,0,0,55,1296,9,1287
09,001,060100,"Census Tract 601, Fairfield County, Connecticut",09001060100,1622,1566,56,2310,118,460,365,686,486,114,81,4068,4068,3228,256,8,95,0,311,170,4068,3604,3115,256,8,95,0,0,130,464,113,0,0,0,0,311,40,597,16,581
09,001,060200,"Census Tract 602, Fairfield County, Connecticut",09001060200,2261,2138,123,3200,204,374,860,1096,572,48,46,4432,4432,4027,45,0,149,0,12,199,4432,4001,3749,45,0,139,0,0,68,431,278,0,0,10,0,12,131,962,21,941
09,001,060300,"Census Tract 603, Fairfield County, Connecticut",09001060300,2038,1944,94,2804,30,326,351,1017,778,255,47,4106,4106,3863,0,0,153,0,0,90,4106,4046,3833,0,0,153,0,0,60,60,30,0,0,0,0,0,30,1095,9,1086
09,001,060400,"Census Tract 604, Fairfield County, Connecticut",09001060400,2219,2169,50,3005,1,121,386,1210,877,315,95,4783,4783,4560,22,0,112,0,26,63,4783,4713,4526,22,0,112,0,11,42,70,34,0,0,0,0,15,21,1508,0,1508
09,001,060500,"Census Tract 605, Fairfield County, Connecticut",09001060500,1328,1273,55,1858,58,140,182,788,564,107,19,2993,2993,2610,37,0,286,0,12,48,2993,2919,2561,31,0,286,0,0,41,74,49,6,0,0,0,12,7,926,0,926
09,001,060600,"Census Tract 606, Fairfield County, Connecticut",09001060600,1160,1152,8,1607,26,132,169,510,488,216,66,2188,2188,1989,64,0,47,0,0,88,2188,2090,1891,64,0,47,0,0,88,98,98,0,0,0,0,0,0,411,0,411
09,001,060700,"Census Tract 607, Fairfield County, Connecticut",09001060700,3733,3362,371,3493,55,269,553,1345,923,319,29,8198,8198,7568,204,0,69,0,85,272,8198,7699,7345,191,0,69,0,0,94,499,223,13,0,0,0,85,178,1415,22,1393
09,001,060800,"Census Tract 608, Fairfield County, Connecticut",09001060800,1122,1029,93,1461,12,91,180,677,386,67,48,2082,2082,1922,26,0,51,0,32,51,2082,1984,1861,26,0,51,0,25,21,98,61,0,0,0,0,7,30,554,5,549
09,001,060900,"Census Tract 609, Fairfield County, Connecticut",09001060900,1466,1435,31,1716,57,302,258,565,397,118,19,2644,2644,2256,92,0,86,0,74,136,2644,2567,2190,81,0,86,0,74,136,77,66,11,0,0,0,0,0,650,0,650
09,001,061000,"Census Tract 610, Fairfield County, Connecticut",09001061000,1906,1712,194,2773,307,638,559,704,370,106,89,3856,3856,3150,123,0,316,0,17,250,3856,3535,2987,123,0,304,0,17,104,321,163,0,0,12,0,0,146,871,148,723
09,001,061100,"Census Tract 611, Fairfield County, Connecticut",09001061100,2073,1992,81,2420,67,209,271,1071,607,160,35,3653,3653,3387,13,0,80,0,58,115,3653,3496,3288,13,0,80,0,0,115,157,99,0,0,0,0,58,0,815,17,798
09,001,061200,"Census Tract 612, Fairfield County, Connecticut",09001061200,1418,1252,166,1658,185,283,362,501,264,51,12,2532,2532,1991,23,0,245,0,76,197,2532,2236,1878,18,0,245,0,29,66,296,113,5,0,0,0,47,131,493,18,475
09,001,061300,"Census Tract 613, Fairfield County, Connecticut",09001061300,1820,1761,59,2137,112,534,330,731,330,50,50,3177,3177,2625,57,0,245,0,101,149,3177,2711,2356,45,0,242,0,41,27,466,269,12,0,3,0,60,122,861,80,781
09,001,061400,"Census Tract 614, Fairfield County, Connecticut",09001061400,2020,1916,104,2228,253,402,404,564,543,39,23,3114,3114,2049,270,0,176,0,220,399,3114,2357,1830,264,0,176,0,46,41,757,219,6,0,0,0,174,358,551,1,550
09,001,061500,"Census Tract 615, Fairfield County, Connecticut",09001061500,2419,2031,388,3012,29,163,274,1358,920,189,79,4536,4536,3733,46,0,134,0,141,482,4536,4051,3667,46,0,134,0,81,123,485,66,0,0,0,0,60,359,1063,27,1036
09,001,061600,"Census Tract 616, Fairfield County, Connecticut",09001061600,2741,2584,157,3499,133,299,291,1597,787,299,93,5375,5375,4873,0,0,356,0,7,139,5375,5303,4829,0,0,356,0,0,118,72,44,0,0,0,0,7,21,1247,0,1247
09,001,070100,"Census Tract 701, Fairfield County, Connecticut",09001070100,3860,3766,94,4066,547,401,763,1506,702,78,69,5091,5091,3850,293,0,110,0,423,415,5091,4301,3486,286,0,110,0,95,324,790,364,7,0,0,0,328,91,593,134,459
09,001,070200,"Census Tract 702, Fairfield County, Connecticut",09001070200,2399,1958,441,2665,413,647,836,296,421,41,11,3953,3953,1537,1772,0,130,0,410,104,3953,2791,1066,1595,0,130,0,0,0,1162,471,177,0,0,0,410,104,813,118,695
09,001,070300,"Census Tract 703, Fairfield County, Connecticut",09001070300,351,255,96,508,209,216,38,31,1,13,0,1245,1245,560,236,0,0,0,361,88,1245,303,40,227,0,0,0,0,36,942,520,9,0,0,0,361,52,544,335,209
09,001,070400,"Census Tract 704, Fairfield County, Connecticut",09001070400,978,868,110,734,99,237,150,143,60,33,12,1586,1586,796,291,0,67,0,319,113,1586,1098,687,264,0,67,0,44,36,488,109,27,0,0,0,275,77,127,44,83
09,001,070500,"Census Tract 705, Fairfield County, Connecticut",09001070500,940,839,101,1188,251,330,265,259,83,0,0,1877,1877,868,593,146,22,0,142,106,1877,910,276,581,0,22,0,0,31,967,592,12,146,0,0,142,75,558,305,253
09,001,070600,"Census Tract 706, Fairfield County, Connecticut",09001070600,1182,1088,94,1958,521,250,558,392,123,87,27,2599,2599,1152,883,0,118,0,279,167,2599,1464,530,773,0,118,0,36,7,1135,622,110,0,0,0,243,160,212,83,129
09,001,070900,"Census Tract 709, Fairfield County, Connecticut",09001070900,1151,1025,126,1873,767,574,348,140,39,0,5,2908,2908,596,995,0,108,0,877,332,2908,1157,88,907,0,108,0,9,45,1751,508,88,0,0,0,868,287,795,405,390
09,001,071000,"Census Tract 710, Fairfield County, Connecticut",09001071000,2199,2015,184,2001,692,640,504,165,0,0,0,3640,3640,827,1502,46,161,0,780,324,3640,2056,197,1464,0,161,0,0,234,1584,630,38,46,0,0,780,90,665,211,454
09,001,071100,"Census Tract 711, Fairfield County, Connecticut",09001071100,2400,2048,352,2682,1000,851,533,208,78,12,0,4489,4489,973,1846,95,202,0,1091,282,4489,2258,296,1700,0,202,0,15,45,2231,677,146,95,0,0,1076,237,1323,387,936
09,001,071200,"Census Tract 712, Fairfield County, Connecticut",09001071200,2735,2286,449,3477,774,1169,1222,165,102,37,8,5684,5684,1499,2227,0,805,0,823,330,5684,3267,394,1988,0,805,0,25,55,2417,1105,239,0,0,0,798,275,1469,759,710
09,001,071300,"Census Tract 713, Fairfield County, Connecticut",09001071300,1713,1530,183,2193,813,845,307,126,53,13,36,3091,3091,856,1476,12,0,0,538,209,3091,1925,405,1408,0,0,0,0,112,1166,451,68,12,0,0,538,97,647,215,432
09,001,071400,"Census Tract 714, Fairfield County, Connecticut",09001071400,2075,1914,161,2239,863,593,510,190,57,26,0,3786,3786,1200,801,38,11,0,1205,531,3786,1347,481,690,38,11,0,108,19,2439,719,111,0,0,0,1097,512,1202,705,497
09,001,071600,"Census Tract 716, Fairfield County, Connecticut",09001071600,1246,1091,155,1350,730,353,215,0,52,0,0,2506,2506,930,819,0,0,0,567,190,2506,785,83,666,0,0,0,0,36,1721,847,153,0,0,0,567,154,835,495,340
09,001,071900,"Census Tract 719, Fairfield County, Connecticut",09001071900,2681,2436,245,3642,747,1433,957,330,113,0,62,5307,5307,1699,2011,0,46,0,1010,541,5307,2996,920,1719,0,46,0,137,174,2311,779,292,0,0,0,873,367,1083,350,733
09,001,072000,"Census Tract 720, Fairfield County, Connecticut",09001072000,1995,1717,278,2435,597,914,567,159,129,10,59,3589,3589,962,1199,0,448,0,805,175,3589,2088,458,1169,0,389,0,0,72,1501,504,30,0,59,0,805,103,767,206,561
09,001,072100,"Census Tract 721, Fairfield County, Connecticut",09001072100,3477,3194,283,4396,241,1611,1356,714,387,70,17,6130,6130,2897,1896,25,686,107,232,287,6130,4434,1739,1854,0,686,0,0,155,1696,1158,42,25,0,107,232,132,1038,374,664
09,001,072200,"Census Tract 722, Fairfield County, Connecticut",09001072200,2002,1864,138,2622,444,862,565,290,166,165,130,3888,3888,1942,889,0,212,0,500,345,3888,3204,1620,843,0,212,0,378,151,684,322,46,0,0,0,122,194,888,223,665
09,001,072300,"Census Tract 723, Fairfield County, Connecticut",09001072300,2644,2387,257,3424,532,1110,1059,454,236,16,17,5007,5007,2148,1458,0,140,0,950,311,5007,3160,1582,1352,0,140,0,0,86,1847,566,106,0,0,0,950,225,1026,334,692
09,001,072400,"Census Tract 724, Fairfield County, Connecticut",09001072400,1518,1386,132,2047,568,725,416,211,108,10,9,2996,2996,953,836,30,126,0,926,125,2996,1538,479,722,30,126,0,172,9,1458,474,114,0,0,0,754,116,746,76,670
09,001,072500,"Census Tract 725, Fairfield County, Connecticut",09001072500,2963,2709,254,3762,496,1106,1002,967,125,37,29,5819,5819,2910,1411,0,832,0,376,290,5819,4414,2098,1075,0,832,0,158,251,1405,812,336,0,0,0,218,39,1018,307,711
09,001,072600,"Census Tract 726, Fairfield County, Connecticut",09001072600,4297,3870,427,4832,656,1458,1121,1157,356,54,30,7676,7676,4451,1778,87,702,0,335,323,7676,6207,3746,1539,0,687,0,85,150,1469,705,239,87,15,0,250,173,840,0,840
09,001,072700,"Census Tract 727, Fairfield County, Connecticut",09001072700,2199,2007,192,2808,234,925,617,421,444,12,155,3920,3920,1428,1533,0,187,0,518,254,3920,2830,1010,1503,0,187,0,89,41,1090,418,30,0,0,0,429,213,697,102,595
09,001,072800,"Census Tract 728, Fairfield County, Connecticut",09001072800,3045,2709,336,3965,853,1613,881,406,121,17,74,5895,5895,1344,2865,55,0,0,1150,481,5895,3438,305,2856,10,0,0,117,150,2457,1039,9,45,0,0,1033,331,1436,664,772
09,001,072900,"Census Tract 729, Fairfield County, Connecticut",09001072900,2884,2571,313,3073,364,1336,860,313,181,13,6,4769,4769,1042,2646,12,239,0,580,250,4769,3498,496,2646,12,239,0,64,41,1271,546,0,0,0,0,516,209,1204,231,973
09,001,073000,"Census Tract 730, Fairfield County, Connecticut",09001073000,999,935,64,1465,223,458,484,197,82,10,11,1987,1987,740,616,42,0,0,464,125,1987,1047,407,599,12,0,0,10,19,940,333,17,30,0,0,454,106,421,0,421
09,001,073100,"Census Tract 731, Fairfield County, Connecticut",09001073100,2656,2424,232,3389,228,1229,915,664,287,36,30,4599,4599,1515,1158,0,240,59,680,947,4599,2326,798,1113,0,240,59,0,116,2273,717,45,0,0,0,680,831,862,273,589
09,001,073200,"Census Tract 732, Fairfield County, Connecticut",09001073200,1714,1590,124,3047,986,788,817,288,102,66,0,4161,4161,2176,1049,0,112,0,565,259,4161,1968,672,1039,0,112,0,39,106,2193,1504,10,0,0,0,526,153,870,366,504
09,001,073300,"Census Tract 733, Fairfield County, Connecticut",09001073300,1872,1729,143,2505,547,614,832,406,61,12,33,3601,3601,883,1634,0,56,0,890,138,3601,1909,424,1424,0,56,0,0,5,1692,459,210,0,0,0,890,133,836,158,678
09,001,073400,"Census Tract 734, Fairfield County, Connecticut",09001073400,2273,2040,233,2380,512,991,604,197,68,8,0,3845,3845,905,1869,22,14,0,904,131,3845,2025,195,1737,0,14,0,26,53,1820,710,132,22,0,0,878,78,726,154,572
09,001,073500,"Census Tract 735, Fairfield County, Connecticut",09001073500,1795,1699,96,2134,832,709,433,132,28,0,0,3654,3654,1042,953,0,15,0,1330,314,3654,1107,94,903,0,0,0,0,110,2547,948,50,0,15,0,1330,204,1031,475,556
09,001,073600,"Census Tract 736, Fairfield County, Connecticut",09001073600,1212,1043,169,1386,448,513,301,101,5,18,0,2175,2175,893,541,0,44,0,490,207,2175,742,129,524,0,44,0,0,45,1433,764,17,0,0,0,490,162,632,273,359
09,001,073700,"Census Tract 737, Fairfield County, Connecticut",09001073700,2387,2181,206,3159,963,1023,847,224,53,36,13,4616,4616,1122,2159,0,39,0,1053,243,4616,2334,494,1744,0,39,0,0,57,2282,628,415,0,0,0,1053,186,1066,568,498
09,001,073800,"Census Tract 738, Fairfield County, Connecticut",09001073800,829,730,99,1260,394,447,313,90,0,16,0,1897,1897,357,616,0,143,34,607,140,1897,756,119,592,0,30,0,15,0,1141,238,24,0,113,34,592,140,463,197,266
09,001,073900,"Census Tract 739, Fairfield County, Connecticut",09001073900,1792,1520,272,2278,746,847,524,161,0,0,0,4068,4068,753,1552,0,154,0,1289,320,4068,1856,333,1442,0,81,0,0,0,2212,420,110,0,73,0,1289,320,1201,260,941
09,001,074000,"Census Tract 740, Fairfield County, Connecticut",09001074000,1039,978,61,1298,385,511,281,78,22,5,16,2225,2225,446,691,0,18,0,837,233,2225,816,78,536,0,18,0,13,171,1409,368,155,0,0,0,824,62,628,194,434
09,001,074300,"Census Tract 743, Fairfield County, Connecticut",09001074300,1961,1692,269,2375,714,824,569,171,81,16,0,4890,4890,507,2208,35,311,0,1564,265,4890,2711,104,2138,35,311,0,13,110,2179,403,70,0,0,0,1551,155,2073,1203,870
09,001,074400,"Census Tract 744, Fairfield County, Connecticut",09001074400,2463,2279,184,3034,580,1289,849,140,149,8,19,4672,4672,497,2260,0,112,0,1178,625,4672,2557,98,2169,0,112,0,16,162,2115,399,91,0,0,0,1162,463,1166,237,929
09,001,080100,"Census Tract 801, Fairfield County, Connecticut",09001080100,3043,2721,322,3772,774,1089,1078,615,197,9,10,5314,5314,2298,1762,0,271,57,331,595,5314,3699,1475,1762,0,271,57,0,134,1615,823,0,0,0,0,331,461,884,127,757
09,001,080200,"Census Tract 802, Fairfield County, Connecticut",09001080200,2488,2284,204,2842,411,1177,686,361,127,68,12,4306,4306,1551,1183,15,0,0,1124,433,4306,2285,1062,1146,15,0,0,0,62,2021,489,37,0,0,0,1124,371,927,288,639
09,001,080400,"Census Tract 804, Fairfield County, Connecticut",09001080400,3203,3045,158,3740,511,1337,927,719,246,0,0,6013,6013,1899,3254,0,0,0,689,171,6013,4183,1037,3075,0,0,0,0,71,1830,862,179,0,0,0,689,100,1603,261,1342
09,001,080500,"Census Tract 805, Fairfield County, Connecticut",09001080500,1794,1748,46,2684,86,709,605,713,390,81,100,3191,3191,2971,54,0,83,0,0,83,3191,3024,2856,54,0,83,0,0,31,167,115,0,0,0,0,0,52,438,73,365
09,001,080600,"Census Tract 806, Fairfield County, Connecticut",09001080600,1974,1830,144,2233,60,627,799,391,257,82,17,2730,2730,2132,501,0,35,0,15,47,2730,2287,1793,436,0,35,0,15,8,443,339,65,0,0,0,0,39,362,0,362
09,001,080700,"Census Tract 807, Fairfield County, Connecticut",09001080700,1086,1046,40,1395,125,313,448,305,184,20,0,1868,1868,1235,402,0,20,0,151,60,1868,1629,1196,402,0,15,0,4,12,239,39,0,0,5,0,147,48,306,6,300
09,001,080800,"Census Tract 808, Fairfield County, Connecticut",09001080800,2597,2419,178,3349,193,907,869,823,441,110,6,4668,4668,3724,646,0,39,0,207,52,4668,4113,3429,618,0,39,0,0,27,555,295,28,0,0,0,207,25,983,45,938
09,001,080900,"Census Tract 809, Fairfield County, Connecticut",09001080900,2562,2448,114,3298,386,1110,1002,555,213,19,13,5041,5041,3361,904,0,26,0,252,498,5041,4150,2887,842,0,26,0,9,386,891,474,62,0,0,0,243,112,1187,40,1147
09,001,081000,"Census Tract 810, Fairfield County, Connecticut",09001081000,2419,2187,232,3091,379,992,1015,411,226,59,9,4555,4555,3077,986,0,0,0,247,245,4555,3746,2667,906,0,0,0,0,173,809,410,80,0,0,0,247,72,865,139,726
09,001,081100,"Census Tract 811, Fairfield County, Connecticut",09001081100,2792,2628,164,3610,177,1189,1025,694,455,56,14,4811,4811,3459,524,0,0,0,366,462,4811,3644,3115,515,0,0,0,0,14,1167,344,9,0,0,0,366,448,900,10,890
09,001,081200,"Census Tract 812, Fairfield County, Connecticut",09001081200,2924,2713,211,3700,170,691,1022,983,640,134,60,4955,4955,4021,429,5,31,0,299,170,4955,4454,3864,429,0,31,0,76,54,501,157,0,5,0,0,223,116,943,0,943
09,001,081300,"Census Tract 813, Fairfield County, Connecticut",09001081300,2164,1895,269,3924,116,770,1037,1086,643,186,86,4908,4908,4235,123,0,235,0,62,253,4908,4605,4084,123,0,235,0,0,163,303,151,0,0,0,0,62,90,531,0,531
09,001,090100,"Census Tract 901, Fairfield County, Connecticut",09001090100,1487,1391,96,2318,251,266,358,718,504,157,64,3248,3248,2648,197,0,269,0,0,134,3248,3081,2595,197,0,269,0,0,20,167,53,0,0,0,0,0,114,812,143,669
09,001,090200,"Census Tract 902, Fairfield County, Connecticut",09001090200,4012,3798,214,5417,325,1084,1163,1533,1145,66,101,7609,7609,6525,227,0,541,0,52,264,7609,7216,6226,227,0,541,0,28,194,393,299,0,0,0,0,24,70,1790,107,1683
09,001,090300,"Census Tract 903, Fairfield County, Connecticut",09001090300,2802,2534,268,3162,142,606,771,1053,422,127,41,4810,4810,3524,124,47,197,0,608,310,4810,3945,3414,124,0,197,0,0,210,865,110,0,47,0,0,608,100,1018,39,979
09,001,090400,"Census Tract 904, Fairfield County, Connecticut",09001090400,3680,3414,266,4720,229,997,827,1534,884,187,62,6804,6804,5021,438,16,397,24,138,770,6804,6040,4727,438,16,397,24,49,389,764,294,0,0,0,0,89,381,1668,42,1626
09,001,090500,"Census Tract 905, Fairfield County, Connecticut",09001090500,2828,2563,265,3236,136,698,642,1184,402,101,73,5405,5405,4182,138,0,252,0,420,413,5405,5043,4037,131,0,252,0,270,353,362,145,7,0,0,0,150,60,1785,69,1716
09,001,090600,"Census Tract 906, Fairfield County, Connecticut",09001090600,1740,1691,49,2428,37,413,390,981,480,94,33,3577,3577,2835,153,0,117,0,26,446,3577,2996,2645,153,0,117,0,26,55,581,190,0,0,0,0,0,391,913,0,913
09,001,090700,"Census Tract 907, Fairfield County, Connecticut",09001090700,2796,2661,135,3406,61,410,658,1250,692,274,61,5377,5377,4440,54,0,704,0,162,17,5377,5144,4369,54,0,704,0,0,17,233,71,0,0,0,0,162,0,1515,126,1389
09,001,100100,"Census Tract 1001, Fairfield County, Connecticut",09001100100,2830,2732,98,3625,173,802,803,1120,513,188,26,5253,5253,4253,85,0,633,0,112,170,5253,4724,3958,85,0,619,0,0,62,529,295,0,0,14,0,112,108,1223,47,1176
09,001,100200,"Census Tract 1002, Fairfield County, Connecticut",09001100200,3866,3685,181,4695,177,1285,1082,1063,864,142,82,6958,6958,5581,494,0,172,0,114,597,6958,6630,5460,494,0,172,0,0,504,328,121,0,0,0,0,114,93,1676,136,1540
09,001,100300,"Census Tract 1003, Fairfield County, Connecticut",09001100300,3291,3143,148,4146,140,832,927,1087,1062,65,33,6716,6716,5830,61,0,230,0,169,426,6716,5914,5494,61,0,230,0,0,129,802,336,0,0,0,0,169,297,1964,22,1942
09,001,105100,"Census Tract 1051, Fairfield County, Connecticut",09001105100,2158,2052,106,2802,26,402,362,933,780,224,75,4017,4017,3650,0,0,26,0,167,174,4017,3910,3570,0,0,26,0,150,164,107,80,0,0,0,0,17,10,904,0,904
09,001,105200,"Census Tract 1052, Fairfield County, Connecticut",09001105200,1844,1750,94,2538,86,248,411,842,535,345,71,3585,3585,3085,244,0,64,0,28,164,3585,3469,3023,244,0,64,0,0,138,116,62,0,0,0,0,28,26,870,196,674
09,001,110100,"Census Tract 1101, Fairfield County, Connecticut",09001110100,1994,1838,156,2103,232,433,686,456,151,113,32,3009,3009,2047,392,0,197,0,187,186,3009,2380,1696,302,0,197,0,119,66,629,351,90,0,0,0,68,120,392,48,344
09,001,110201,"Census Tract 1102.01, Fairfield County, Connecticut",09001110201,2869,2707,162,3200,202,918,874,711,449,27,19,4702,4702,3650,45,11,497,0,278,221,4702,4046,3325,45,11,497,0,6,162,656,325,0,0,0,0,272,59,857,84,773
09,001,110202,"Census Tract 1102.02, Fairfield County, Connecticut",09001110202,2581,2432,149,3988,335,1331,903,809,544,50,16,5124,5124,4118,323,19,56,0,462,146,5124,4787,3919,323,19,56,0,419,51,337,199,0,0,0,0,43,95,784,91,693
09,001,110301,"Census Tract 1103.01, Fairfield County, Connecticut",09001110301,3709,3543,166,5287,240,1614,1326,1234,686,74,113,6745,6745,5802,50,31,367,0,42,453,6745,6044,5529,50,31,367,0,0,67,701,273,0,0,0,0,42,386,822,28,794
09,001,110302,"Census Tract 1103.02, Fairfield County, Connecticut",09001110302,1806,1784,22,2294,44,551,396,652,522,111,18,3404,3404,3058,54,0,160,0,31,101,3404,3271,2992,54,0,160,0,0,65,133,66,0,0,0,0,31,36,744,0,744
09,001,110400,"Census Tract 1104, Fairfield County, Connecticut",09001110400,2629,2466,163,3675,137,855,1215,787,472,144,65,5090,5090,4490,71,0,107,0,51,371,5090,4742,4388,71,0,107,0,0,176,348,102,0,0,0,0,51,195,1094,181,913
09,001,110500,"Census Tract 1105, Fairfield County, Connecticut",09001110500,2814,2700,114,4072,49,968,1196,878,902,18,61,5118,5118,4813,152,0,25,0,1,127,5118,4780,4576,52,0,25,0,0,127,338,237,100,0,0,0,1,0,813,0,813
09,001,110601,"Census Tract 1106.01, Fairfield County, Connecticut",09001110601,1649,1649,0,2155,53,559,487,514,524,0,18,2815,2815,2649,29,0,125,0,0,12,2815,2749,2595,29,0,125,0,0,0,66,54,0,0,0,0,0,12,526,0,526
09,001,110602,"Census Tract 1106.02, Fairfield County, Connecticut",09001110602,2809,2600,209,3747,297,931,1040,950,464,65,0,4937,4937,4188,37,103,484,0,35,90,4937,4440,3869,37,0,484,0,0,50,497,319,0,103,0,0,35,40,933,55,878
09,001,200100,"Census Tract 2001, Fairfield County, Connecticut",09001200100,2331,2180,151,2617,230,766,680,564,267,34,76,3992,3992,3050,61,0,139,0,506,236,3992,3405,2917,61,0,139,0,220,68,587,133,0,0,0,0,286,168,1017,137,880
