"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Families:","Families: Income Below Poverty Level","Families: Income Below Poverty Level: Married Couple Family: with Related Child Living  Below Poverty Level","Families: Income Below Poverty Level: Married Couple Family: No Related Children Under 18 Years","Families: Income Below Poverty Level: Male Householder, No Wife Present","Families: Income Below Poverty Level: Male Householder, No Wife Present: with Related Children Under 18 Years","Families: Income Below Poverty Level: Male Householder, No Wife Present: No Related Children Under 18 Years","Families: Income Below Poverty Level: Female Householder, No Husband Present","Families: Income Below Poverty Level: Female Householder, No Husband Present: with Related Children Under 18 Years","Families: Income Below Poverty Level: Female Householder, No Husband Present: No Related Children Under 18 Years","Families: Income At or Above Poverty Level","Median Household Income (In 2021 Inflation Adjusted Dollars)","Total Population","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
"09001010800","Census Tract 108, Fairfield County, Connecticut","ACSSF","ct","140","00","0000571",,,,,"09","001",,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001010800","Census Tract 108",,,,1798,1746,52,2256,125,2131,1881,1575,789,164,41,845,48,0,0,9,9,0,39,39,0,797,175850,3292,3292,2908,2613,20,0,201,0,16,58,384,169,0,0,0,0,143,72
"09001010900","Census Tract 109, Fairfield County, Connecticut","ACSSF","ct","140","00","0000572",,,,,"09","001",,,"010900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001010900","Census Tract 109",,,,2530,2297,233,3378,101,3277,3015,2615,1330,367,166,1380,13,0,0,0,0,0,13,9,4,1367,200556,5317,5317,4658,3059,178,27,1233,0,7,154,659,281,41,0,0,0,27,310
"09001011000","Census Tract 110, Fairfield County, Connecticut","ACSSF","ct","140","00","0000573",,,,,"09","001",,,"011000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001011000","Census Tract 110",,,,2257,2250,7,3340,56,3284,3032,2786,1606,422,127,1430,20,0,12,0,0,0,8,8,0,1410,247500,5597,5597,5106,4379,13,0,424,0,43,247,491,291,23,0,0,0,65,112
"09001011100","Census Tract 111, Fairfield County, Connecticut","ACSSF","ct","140","00","0000574",,,,,"09","001",,,"011100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001011100","Census Tract 111",,,,2023,1916,107,3074,86,2988,2898,2683,1405,480,144,1286,48,33,8,0,0,0,7,7,0,1238,250001,5148,5148,4494,3886,9,13,326,0,7,253,654,636,0,0,0,0,0,18
"09001011200","Census Tract 112, Fairfield County, Connecticut","ACSSF","ct","140","00","0000575",,,,,"09","001",,,"011200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001011200","Census Tract 112",,,,832,787,45,1199,28,1171,1083,967,431,125,33,491,14,5,9,0,0,0,0,0,0,477,250001,1857,1857,1543,1346,6,0,80,0,5,106,314,99,0,0,0,0,122,93
"09001011300","Census Tract 113, Fairfield County, Connecticut","ACSSF","ct","140","00","0000576",,,,,"09","001",,,"011300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001011300","Census Tract 113",,,,1866,1703,163,2052,222,1830,1322,959,365,102,27,723,41,2,0,22,22,0,17,17,0,682,97234,2910,2910,1395,1121,53,10,133,0,0,78,1515,809,14,0,0,0,429,263
"09001020101","Census Tract 201.01, Fairfield County, Connecticut","ACSSF","ct","140","00","0000577",,,,,"09","001",,,"020101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001020101","Census Tract 201.01",,,,1540,1388,152,2109,202,1907,1617,1460,657,135,87,510,47,47,0,0,0,0,0,0,0,463,78903,2588,2588,2266,1282,337,0,612,0,0,35,322,176,20,0,0,0,105,21
"09001020102","Census Tract 201.02, Fairfield County, Connecticut","ACSSF","ct","140","00","0000578",,,,,"09","001",,,"020102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001020102","Census Tract 201.02",,,,1959,1959,0,2775,441,2334,1903,1572,917,268,90,720,0,0,0,0,0,0,0,0,0,720,51538,3560,3560,2808,1449,849,30,342,0,0,138,752,503,0,18,0,0,145,86
"09001020200","Census Tract 202, Fairfield County, Connecticut","ACSSF","ct","140","00","0000579",,,,,"09","001",,,"020200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001020200","Census Tract 202",,,,2262,2222,40,3107,20,3087,2863,2360,1220,414,67,1281,37,0,9,0,0,0,28,28,0,1244,239458,4047,4047,3778,3254,131,0,288,0,0,105,269,214,55,0,0,0,0,0
"09001020301","Census Tract 203.01, Fairfield County, Connecticut","ACSSF","ct","140","00","0000580",,,,,"09","001",,,"020301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001020301","Census Tract 203.01",,,,1765,1721,44,2457,61,2396,2189,1754,1024,414,201,1035,0,0,0,0,0,0,0,0,0,1035,178426,3385,3385,2943,2487,64,0,151,0,0,241,442,129,0,0,0,0,28,285
