"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Median Household Income (In 2021 Inflation Adjusted Dollars)","Population Under 18 Years of Age for Whom Poverty Status Is Determined:","Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty","Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
"09001071200","Census Tract 712, Fairfield County, Connecticut","ACSSF","ct","140","00","0000681",,,,,"09","001",,,"071200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001071200","Census Tract 712",,,,41350,1469,759,710,3477,774,2703,1534,312,147,45,8,2735,2286,449,5684,3267,394,1988,0,805,0,25,55,2417,1105,239,0,0,0,798,275
"09001071300","Census Tract 713, Fairfield County, Connecticut","ACSSF","ct","140","00","0000682",,,,,"09","001",,,"071300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001071300","Census Tract 713",,,,35147,647,215,432,2193,813,1380,535,228,102,49,36,1713,1530,183,3091,1925,405,1408,0,0,0,0,112,1166,451,68,12,0,0,538,97
"09001071400","Census Tract 714, Fairfield County, Connecticut","ACSSF","ct","140","00","0000683",,,,,"09","001",,,"071400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001071400","Census Tract 714",,,,44799,1202,705,497,2239,863,1376,783,273,83,26,0,2075,1914,161,3786,1347,481,690,38,11,0,108,19,2439,719,111,0,0,0,1097,512
"09001071600","Census Tract 716, Fairfield County, Connecticut","ACSSF","ct","140","00","0000684",,,,,"09","001",,,"071600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001071600","Census Tract 716",,,,19698,835,495,340,1350,730,620,267,52,52,0,0,1246,1091,155,2506,785,83,666,0,0,0,0,36,1721,847,153,0,0,0,567,154
"09001071900","Census Tract 719, Fairfield County, Connecticut","ACSSF","ct","140","00","0000685",,,,,"09","001",,,"071900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001071900","Census Tract 719",,,,46369,1083,350,733,3642,747,2895,1462,505,175,62,62,2681,2436,245,5307,2996,920,1719,0,46,0,137,174,2311,779,292,0,0,0,873,367
"09001072000","Census Tract 720, Fairfield County, Connecticut","ACSSF","ct","140","00","0000686",,,,,"09","001",,,"072000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001072000","Census Tract 720",,,,52039,767,206,561,2435,597,1838,924,357,198,69,59,1995,1717,278,3589,2088,458,1169,0,389,0,0,72,1501,504,30,0,59,0,805,103
"09001072100","Census Tract 721, Fairfield County, Connecticut","ACSSF","ct","140","00","0000687",,,,,"09","001",,,"072100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001072100","Census Tract 721",,,,59306,1038,374,664,4396,241,4155,2544,1188,474,87,17,3477,3194,283,6130,4434,1739,1854,0,686,0,0,155,1696,1158,42,25,0,107,232,132
"09001072200","Census Tract 722, Fairfield County, Connecticut","ACSSF","ct","140","00","0000688",,,,,"09","001",,,"072200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001072200","Census Tract 722",,,,51991,888,223,665,2622,444,2178,1316,751,461,295,130,2002,1864,138,3888,3204,1620,843,0,212,0,378,151,684,322,46,0,0,0,122,194
"09001072300","Census Tract 723, Fairfield County, Connecticut","ACSSF","ct","140","00","0000689",,,,,"09","001",,,"072300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001072300","Census Tract 723",,,,68006,1026,334,692,3424,532,2892,1782,723,269,33,17,2644,2387,257,5007,3160,1582,1352,0,140,0,0,86,1847,566,106,0,0,0,950,225
"09001072400","Census Tract 724, Fairfield County, Connecticut","ACSSF","ct","140","00","0000690",,,,,"09","001",,,"072400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001072400","Census Tract 724",,,,63687,746,76,670,2047,568,1479,754,338,127,19,9,1518,1386,132,2996,1538,479,722,30,126,0,172,9,1458,474,114,0,0,0,754,116
"09001072500","Census Tract 725, Fairfield County, Connecticut","ACSSF","ct","140","00","0000691",,,,,"09","001",,,"072500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001072500","Census Tract 725",,,,61820,1018,307,711,3762,496,3266,2160,1158,191,66,29,2963,2709,254,5819,4414,2098,1075,0,832,0,158,251,1405,812,336,0,0,0,218,39
"09001072600","Census Tract 726, Fairfield County, Connecticut","ACSSF","ct","140","00","0000692",,,,,"09","001",,,"072600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001072600","Census Tract 726",,,,64194,840,0,840,4832,656,4176,2718,1597,440,84,30,4297,3870,427,7676,6207,3746,1539,0,687,0,85,150,1469,705,239,87,15,0,250,173
"09001072700","Census Tract 727, Fairfield County, Connecticut","ACSSF","ct","140","00","0000693",,,,,"09","001",,,"072700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001072700","Census Tract 727",,,,70544,697,102,595,2808,234,2574,1649,1032,611,167,155,2199,2007,192,3920,2830,1010,1503,0,187,0,89,41,1090,418,30,0,0,0,429,213
"09001072800","Census Tract 728, Fairfield County, Connecticut","ACSSF","ct","140","00","0000694",,,,,"09","001",,,"072800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001072800","Census Tract 728",,,,65127,1436,664,772,3965,853,3112,1499,618,212,91,74,3045,2709,336,5895,3438,305,2856,10,0,0,117,150,2457,1039,9,45,0,0,1033,331
